FAD	LAD
Anoura_caudifer	24.40	0.000001
Artibeus_jamaicensis	17.70	0.000001
Desmodus_rotundus	29.00	0.000001
Micronycteris_hirsuta	29.40	0.000001
Sturnira_hondurensis	17.70	0.000001
Tonatia_saurophila	19.14	0.000001
Phyllostomus_discolor	13.80	0.000001
Phyllostomus_hastatus	13.80	0.000001
Carollia_perspicillata	21.50	0.000001
Noctilio_leporinus	43.00	0.000001
Tadarida_brasiliensis	25.60	0.000001
Mollosus_mollosus	25.60	0.000001
Mormoops_blainvillei	34.00	0.000001
Pternotus_parnellii	34.00	0.000001
Antrozous_pallidus	26.60	0.000001
Eptesicus_fuscus	28.20	0.000001
Lasiurus_borealis	29.00	0.000001
Miniopterus_natalensis	13.80	0.000001
Miniopterus_schreibersii	13.80	0.000001
Murina_feae	27.50	0.000001
Myotis_myotis	18.70	0.000001
Myotis_davidii	18.70	0.000001
Myotis_brandtii	14.20	0.000001
Myotis_lucifugus	14.20	0.000001
Pipistrellus_kuhlii	16.40	0.000001
Pipistrellus_pipistrellus	16.40	0.000001
Craseonycteris_thonglongyai	43.00	0.000001
Hipposideros_armiger	28.4	0.000001
Hipposideros_galeritus	28.40	0.000001
Megaderma_lyra	43.00	0.000001
Rhinolophus_ferrumequinum	39.00	0.000001
Rhinolophus_sinicus	39.00	0.000001
Eidolon_helvum	25.00	0.000001
Macroglossus_sobrinus	35.00	0.000001
Pteropus_alecto	12.94	0.000001
Pteropus_vampyrus	12.94	0.000001
Rousettus_aegyptiacus	25.00	0.000001
